genus,species_epithet,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,ca1,ca5,ca6,ca7,ca8,ca9,ca14
Satishia,glyceia,4,2,0,0,0,1,1,?,?,?,1,0,1,1,2,6,1,1,2,?,?,?,0,?,?,?,?,?,?,1,0,1,0,?,?,1
Semioculopollis,verrucosus,9,0,0,0,0,2,1,?,?,?,2,0,1,1,2,1,?,?,?,?,?,?,1,4,0,0,0,0,1,4,0,2,0,?,?,1
Senectotetradites,fenestralis,4,?,0,0,0,1,1,?,?,?,4,0,1,1,?,4,0,?,2,?,?,?,1,?,?,?,?,?,?,1,1,1,0,?,?,1
Senectotetradites,festivus,4,?,0,0,0,1,1,?,?,?,3,1,1,1,5,4,?,?,2,?,?,?,1,?,?,?,?,?,?,1,1,1,0,?,?,1
Senectotetradites,grossu,4,0,0,0,0,?,1,?,?,?,3,?,1,1,5,6,?,1,1,?,?,?,0,?,?,?,?,?,?,1,1,?,0,?,?,1
Senectotetradites,verireticulatus,4,0,0,0,0,1,1,?,1,?,3,0,1,1,5,6,0,1,2,0,?,?,0,?,?,?,?,?,?,1,1,1,0,?,0,1
Senipites,usapollis,5,2,0,0,0,3,1,?,?,?,2,0,1,1,2,6,0,1,2,0,?,?,?,?,?,?,?,?,?,3,0,2,0,?,?,1
Siberiapollis,montanensis,9,0,0,0,0,2,2,3,2,?,3,?,1,1,2,4,?,?,?,?,?,?,2,3,0,0,0,?,0,4,0,2,1,3,1,1
Simpsonipollis,mullensis,5,2,0,0,0,1,1,0,1,?,?,0,1,0,?,6,?,1,?,?,?,?,0,?,?,?,?,?,?,3,0,1,0,1,0,0
Sindorapollis,granulatus,4,3,0,0,0,2,1,?,1,?,0,?,1,?,?,?,?,0,?,1,0,?,?,?,?,?,?,?,?,1,0,2,0,?,0,?
Singhipollis,orbiculatus,2,?,0,0,0,1,1,?,?,?,?,?,1,1,2,6,?,?,2,?,?,?,0,?,?,?,?,?,?,1,0,1,0,?,?,1
Smilipollis,sp. B (Doyle and Robbins 1977),1,?,0,?,0,0,1,?,?,?,?,?,1,1,1,6,?,1,1,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,?,1
Stellapollis,barghoornii,1,?,0,0,0,0,2,?,?,?,3,0,1,1,?,6,1,1,2,1,2,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Stellapollis,largissimus,1,?,0,0,0,0,2,?,?,?,4,0,1,0,?,6,?,1,2,1,2,?,0,?,?,?,?,?,?,0,0,0,1,0,?,0
Stellapollis,sp. (Doyle and Robbins 1977),1,?,0,?,0,?,1,?,?,?,?,?,1,?,?,6,?,1,?,1,7,?,?,?,?,?,?,?,?,0,0,?,0,0,?,?
Striatopollis,dubius,4,2,0,0,0,?,?,0,1,?,?,?,1,0,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,?,?,1,0,0
Striatopollis,paraneus,4,2,0,0,0,3,0,0,1,?,0,?,1,0,?,6,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,2,1,1,0,0
Striatopollis,striatus,4,2,0,0,0,?,?,0,?,?,1,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,?,?,1,?,0
Striatopollis,tectatus,4,2,0,0,0,?,1,0,1,?,1,?,1,0,?,6,?,1,?,1,6,?,0,?,?,?,?,?,?,1,0,?,0,1,0,0
Striatopollis,trochuensis,4,2,0,0,0,1,1,0,1,?,0,0,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,0
Striatopollis,vermimurus,4,2,0,0,0,1,0,0,1,?,2,0,1,0,?,6,?,?,2,?,?,?,0,?,?,?,?,?,?,1,0,1,1,1,0,0
Subtriporopollenites,alpinus,9,1,0,0,0,1,1,?,?,?,1,?,1,0,?,1,?,?,?,?,?,?,1,?,0,0,0,0,0,4,0,1,0,?,?,0
Thomsonipollis,expolitus,9,0,0,0,0,1,1,?,?,?,1,?,0,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,0,4,0,1,0,?,?,?
Thomsonipollis,magnificus,9,0,0,0,0,1,1,?,?,?,1,?,1,0,?,4,?,?,?,?,?,?,?,1,0,0,0,0,0,4,0,1,0,?,?,0
Triatriopollenites,costatus,9,0,0,0,0,2,1,2,?,?,0,?,0,?,?,?,?,?,?,?,?,?,1,1,0,1,0,0,0,4,0,2,0,2,?,?
Tricolpites,albiensis,4,2,0,0,0,3,0,?,0,?,0,1,1,0,?,6,?,1,?,?,?,?,0,?,?,?,?,?,?,1,0,2,1,?,1,0
Tricolpites,amplifissus,4,2,0,0,0,1,1,?,1,?,1,0,1,0,?,6,?,?,0,?,?,?,0,?,?,?,?,?,?,1,0,1,0,?,0,0
Tricolpites,bacustriatus,4,2,0,0,0,1,1,?,?,?,1,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,?,?,0
Tricolpites,bathyreticulatus,4,2,0,0,0,1,1,1,1,?,1,?,1,?,?,6,?,1,2,?,?,?,0,?,?,?,?,?,?,1,0,1,0,0,0,?
Tricolpites,blechrus,4,2,0,0,0,1,1,?,0,?,1,1,1,1,0,6,?,1,2,1,0,?,0,?,?,?,?,?,?,1,0,1,0,?,1,1
Tricolpites,confossipollis,4,2,0,0,0,3,0,0,1,?,0,0,1,1,0,6,0,1,1,0,?,?,0,?,?,?,?,?,?,1,0,2,1,1,0,1
Tricolpites,debilis,4,2,0,0,0,1,0,0,0,?,0,0,1,0,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,0,1,1,1,1,0
Tricolpites,delicatulus,4,2,0,0,0,?,1,0,1,?,?,0,1,?,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,0,?,0,1,0,?
Tricolpites,dettmanniae,4,2,0,0,0,1,0,0,0,?,1,0,1,1,0,6,?,1,2,1,1,?,0,?,?,?,?,?,?,1,0,1,1,1,1,1
Tricolpites,favosus,4,2,0,0,0,1,0,0,1,?,1,1,1,0,?,6,0,1,1,?,?,?,?,0,?,?,?,?,?,1,0,1,1,1,0,0
Tricolpites,floricolus,4,?,0,0,0,3,1,?,1,?,0,0,1,0,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,0,2,0,?,0,0
Tricolpites,foveolatus,4,2,0,0,0,1,1,2,?,?,0,?,1,?,?,6,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,2,?,?
Tricolpites,fragosus,4,2,0,0,0,?,0,0,0,?,1,0,1,1,6,6,?,1,0,?,?,?,?,0,?,?,?,?,?,1,0,?,1,1,1,1
Tricolpites,hians,4,2,0,0,0,3,1,0,1,?,1,1,1,0,?,6,0,1,0,?,?,?,0,?,?,?,?,?,?,1,0,2,0,1,0,0
Tricolpites,hyphantos,4,2,0,0,0,2,1,2,1,?,?,?,1,1,1,6,?,?,2,?,?,?,0,?,?,?,?,?,?,1,0,2,0,2,0,1
Tricolpites,maximus,4,2,0,0,0,1,?,0,1,?,2,0,1,0,?,6,0,1,1,?,?,?,0,?,?,?,?,?,?,1,0,1,?,1,0,0
Tricolpites,micromunus,4,2,0,0,0,1,0,0,0,?,1,0,1,1,2,6,?,1,0,0,?,?,0,?,?,?,?,?,?,1,0,1,1,1,1,1
Tricolpites,minutus,4,2,0,0,0,2,0,0,0,?,0,1,1,0,?,6,0,1,0,0,?,?,0,?,?,?,?,?,?,1,0,2,1,1,1,0
Tricolpites,mitis,4,2,0,0,0,1,1,?,1,?,0,1,1,0,?,6,0,1,2,?,?,?,?,0,?,?,?,?,?,1,0,1,0,?,0,0
Tricolpites,nemejcii,4,2,0,0,0,3,1,?,1,?,1,0,1,0,?,6,?,1,1,?,?,?,0,?,?,?,?,?,?,1,0,2,0,?,0,0
Tricolpites,parvistriatus,4,2,0,0,0,1,1,?,?,?,1,?,1,?,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,?,?,?
Tricolpites,psilascabratus,4,2,?,0,0,1,1,2,?,?,0,?,1,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,2,?,?
Tricolpites,reticulatus,4,2,0,0,0,3,1,?,1,?,0,?,1,0,?,6,0,1,1,0,?,?,0,?,?,?,?,?,?,1,0,2,0,?,0,0
Tricolpites,ringens,4,?,0,0,0,3,1,?,?,?,0,0,1,0,?,6,?,1,?,?,?,?,0,?,?,?,?,?,?,1,0,2,0,?,?,0
Tricolpites,sagax,4,2,0,0,0,1,1,0,1,?,?,0,1,1,0,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,1
Tricolpites,sp. A (Doyle and Robbins 1977),4,2,0,0,0,?,?,0,?,?,?,?,1,0,?,6,?,1,1,?,?,?,?,?,?,?,?,?,?,1,0,?,?,1,?,0
Tricolpites,varius,4,2,0,0,0,1,1,2,?,?,1,?,1,?,?,6,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,9,2,?,?
Tricolpites,virgeus,4,2,0,0,0,1,1,0,?,?,1,0,1,0,?,6,0,1,1,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,?,0
Tricolpites,vulgaris,4,2,0,0,0,1,1,0,1,?,1,0,1,0,?,6,0,1,1,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,0,0
Tricolpopollenites,clavireticulatus,4,0,0,0,0,?,0,2,1,?,?,?,1,1,5,6,?,1,2,?,?,?,?,?,?,?,?,?,?,1,0,?,1,2,0,1
Tricolpopollenites,microreticulatus,4,2,0,0,0,?,0,2,0,?,1,?,1,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,?,1,2,1,?
Tricolpopollenites,microscabratus,4,2,0,0,0,?,1,0,1,?,0,?,1,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,?,0,1,0,?
Tricolpopollenites,prolatus,4,2,0,0,0,?,0,0,1,?,1,?,1,?,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,?,1,1,0,?
Tricolpopollenites,tesselatus,4,2,0,0,0,1,0,0,0,?,0,?,1,1,0,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,1,1,1,1
Tricolporites,rhomboides,5,2,0,0,0,2,1,0,1,?,1,?,1,0,?,?,?,0,?,1,0,?,?,?,?,?,?,?,?,3,0,2,0,1,0,0
Tricolporoidites,bohemicus,5,0,0,0,0,2,0,1,0,?,1,1,1,1,5,6,?,1,2,?,?,?,?,?,?,?,?,?,?,2,0,2,1,0,1,1
Tricolporoidites,eximius,5,2,0,0,0,3,0,?,?,?,?,?,1,1,2,6,0,1,?,?,?,?,0,?,?,?,?,?,?,2,0,2,1,?,?,1
Tricolporoidites,minimus,5,0,0,0,0,?,0,?,0,?,1,0,1,0,3,6,?,1,?,?,?,?,0,?,?,?,?,?,?,2,0,?,1,?,1,0
Tricolporoidites,nubiginus,5,2,0,0,0,1,0,1,0,?,1,0,1,0,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,2,0,1,1,0,1,0
Tricolporoidites,pacltovae,5,2,0,0,0,1,0,?,0,?,1,1,1,1,5,6,?,?,2,?,?,?,0,?,?,?,?,?,?,2,0,1,1,?,1,1
Tricolporoidites,robbinsiae,5,2,0,0,0,1,0,0,0,?,1,0,1,1,3,6,?,1,0,?,?,?,0,?,?,?,?,?,?,2,0,1,1,1,1,1
Tricolporoidites,sordidus,5,2,0,0,0,1,0,0,0,?,0,0,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,2,0,1,1,1,1,1
Tricolporopollenites,elongatus,5,2,0,0,0,?,0,0,1,?,?,?,1,0,?,6,?,?,?,?,?,?,1,?,?,?,?,?,?,3,0,?,1,1,0,0
Tricolporopollenites,foveotectatus,5,2,0,0,0,?,0,0,1,?,2,?,1,?,?,6,?,1,0,?,?,?,1,?,?,?,?,?,?,3,0,?,1,1,0,?
Tricolporopollenites,granustriatus,5,0,0,0,0,2,1,?,?,?,1,?,1,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,3,0,2,0,?,?,?
Tricolporopollenites,prolatus,5,2,0,0,0,?,0,0,1,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,3,0,?,1,1,0,?
Tricolporopollenites,sp. D (Wolfe et al. 1975),5,2,0,0,0,1,1,0,2,?,1,0,1,1,5,6,?,?,0,?,?,?,1,?,?,?,?,?,?,3,0,1,0,1,1,1
Tricolporopollenites,striatus,5,2,0,0,0,?,1,0,1,?,1,?,1,?,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,3,0,?,0,1,0,?
Triporopollenites,coryloides,9,0,0,0,0,2,1,2,?,?,0,?,1,?,?,0,?,?,?,?,?,?,1,?,0,0,0,0,0,4,0,2,0,2,?,?
Triporopollenites,rugatus,9,0,0,0,0,1,1,2,?,?,?,?,1,?,?,0,?,?,?,?,?,?,1,?,?,?,?,?,?,4,0,1,0,2,?,?
Trudopollis,cf. artifex,9,0,0,0,0,2,1,?,?,?,3,?,1,1,2,7,?,?,?,?,?,?,1,4,1,0,0,1,?,4,0,2,0,?,?,1
Trudopollis,variabilis,9,0,0,0,0,2,1,?,?,?,1,?,1,?,?,1,?,?,?,?,?,?,1,4,0,0,0,1,0,4,0,2,0,?,?,?
Tubifloridites,lilliei,4,2,0,0,0,1,1,0,2,?,1,?,1,0,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,1,1,0
Ulmipollenites,planeraeformis,A,0,0,0,0,4,1,2,?,?,0,?,1,?,?,1,?,?,?,?,?,?,1,0,0,1,0,0,0,4,0,3,0,2,?,?
Ulmipollenites,tricostatus,9,0,0,0,0,2,1,2,?,?,0,?,1,?,?,1,?,?,?,?,?,?,1,0,0,1,0,0,0,4,0,2,0,2,?,?
Ulmipollenites,undulosus,A,0,0,0,0,4,1,2,?,?,?,?,1,?,?,5,?,?,?,?,?,?,1,0,0,1,0,0,0,4,0,3,0,2,?,?
Ulmipollenites,verrucatus,A,0,0,0,0,4,1,2,?,?,?,?,1,?,?,1,?,?,?,?,?,?,1,?,0,1,0,0,0,4,0,3,0,2,?,?
Vacuopollis,munitus,9,0,0,0,0,2,1,?,?,?,2,?,1,1,2,7,?,?,?,?,?,?,1,1,0,0,0,1,0,4,0,2,0,?,?,1
Virgo,amiantopollis,4,?,0,0,1,1,1,?,?,?,0,0,1,0,?,6,?,0,?,1,0,?,0,?,?,?,?,?,?,1,1,1,0,?,?,0
Vitipites,affluens,5,2,0,0,0,2,1,2,?,?,1,1,1,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,3,0,2,0,2,?,?
Wodehouseia,fimbriata,A,4,0,0,0,0,2,2,1,?,?,?,1,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,0,0,1,2,0,?
Wodehouseia,spinata,A,4,0,0,0,0,2,2,?,?,?,0,1,1,1,6,?,1,0,1,5,?,?,?,?,?,?,?,?,?,0,0,1,2,?,1
