genus,species_epithet,taxon_authorship,morphology_sources,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,notes
Callistopollenites,radiatostriatus,(Mtchedlishvili) Srivastava 1969,Srivastava 1969b,5,2,0,0,0,1,1,1,1,–,?,?,1,0,–,5,?,?,?,0,–,–,1,?,–,–,–,–,–,
Cranwellia,edmontonensis,Srivastava 1967,Srivastava 1967,E,2,0,0,0,4,2,?,?,–,?,?,1,0,–,5,?,?,–,0,–,–,2,?,–,–,–,–,–,
Cranwellia,rumseyensis,Srivastava 1967,Lupia 1999,5,2,0,0,0,2,1,?,?,–,?,?,1,0,–,?,?,?,?,1,6,–,0,?,–,–,–,–,–,
Cranwellia,subtilis,Sweet 1986,Sweet 1986,4,2,0,0,0,2,1,3,1,–,0,?,1,0,–,5,?,?,?,0,–,–,1,?,–,–,–,–,–,
Cupanieidites,inaequalis,Leffingwell 1970,Leffingwell 1970,C,–,0,0,0,2,1,2,?,–,0,1,1,?,?,6,?,?,?,0,–,–,1,?,–,–,–,–,–,
Dyadonapites,reticulatus,Tschudy 1973,Tschudy 1973,0,–,–,0,3,1,1,1,1,–,?,?,1,1,?,6,?,?,2,1,0,–,–,–,–,–,–,–,–,
Erdtmanipollis,cretaceus,(Stanley 1965) Norton in Norton & Hall 1969,Stanley 1965,A,5,0,0,0,1,1,1,1,–,1,?,1,0,–,6,?,?,2,1,8,–,0,?,?,?,?,?,?,
Erdtmanipollis,procumbentiformis,"(Samoilovich) Krutzsch, 1966",Lupia 1999,A,5,0,0,0,1,2,1,2,–,2,0,1,0,–,6,?,1,2,1,7,–,0,?,?,?,?,?,?,
Ericipites,rallus,Stanley 1965,Lupia 1999,4,0,?,0,1,?,1,?,?,–,0,?,1,?,?,0,?,?,–,?,?,–,0,?,–,–,–,–,–,
Eucommia,leopoldae,Frederiksen 1983,Frederiksen 1983,5,0,0,0,0,?,?,0,1,–,1,0,1,?,?,4,–,1,0,0,–,–,2,?,–,–,–,–,–,
Fraxinoipollenites,variabilis,Stanley 1965,Lupia 1999,4,2,0,0,0,?,1,0,1,–,1,?,1,0,–,6,?,1,0,?,?,–,0,?,–,–,–,–,–,
Inaperturotetradites,scabratus,Tschudy 1973,Lupia 1999,0,–,–,0,1,1,1,1,1,–,0,?,1,0,–,0,?,?,–,?,?,–,–,–,–,–,–,–,–,
Insulapollenites,rugulatus,Leffingwell 1970,Leffingwell 1970,7,–,0,0,0,2,1,2,?,–,1,0,1,1,5,5,?,?,?,0,–,–,?,?,–,–,–,–,–,
Jiangsupollis,major,Song,Jansonius & Hills 1982; Song et al. 2005,4,0,0,0,0,2,2,3,2,–,4,0,1,1,2,5,–,–,–,0,–,–,?,?,–,–,–,–,–,"characters from genus diagnosis + species comparison in Song et al. 2005; described as ""atectate"" (implicitly = intectate)"
Kurtzipites,circularis,(Norton in Norton & Hall 1969) Srivastava 1981,Lupia 1999,9,0,0,0,0,1,1,2,?,–,0,?,1,?,?,0,?,?,–,?,?,–,1,?,0,0,0,0,0,
Kurtzipites,trispissatus,Anderson 1960,Lupia 1999,5,0,0,0,0,2,1,2,1,–,1,?,1,?,?,?,?,0,?,1,3,–,2,?,–,–,–,–,–,
Lanagiopollis,lihokus,(Srivastava 1967) Frederiksen 1988,Lupia 1999,5,2,0,0,0,1,2,2,?,–,2,1,1,1,5,6,?,1,2,0,–,–,1,?,–,–,–,–,–,in Lupia (1999) as Margocolporites lihokus
Leptopecopites,pocockii,(Srivastava 1967) Srivastava 1978,Srivastava 1967,6,2,0,0,0,1,2,2,1,–,0,0,1,0,–,5,?,1,?,0,–,–,0,?,–,–,–,–,–,
Libopollis,jarzenii,Farabee et al. 1984,Lupia 1999,D,2,1,0,0,1,1,?,?,–,1,0,1,1,5,6,0,1,2,0,–,–,?,?,–,–,–,–,–,
Liliacidites,altimurus,Leffingwell 1970,Lupia 1999,1,–,0,0,0,0,1,?,?,–,3,0,1,1,?,6,?,?,2,?,?,–,0,?,–,–,–,–,–,
Liliacidites,complexus,(Stanley 1965) Leffingwell 1970,Lupia 1999,1,–,0,0,0,?,2,?,?,–,?,?,1,1,1,6,1,1,2,0,–,–,0,?,–,–,–,–,–,
Liliacidites,leei,Anderson 1960,Lupia 1999,1,–,0,0,0,0,1,2,?,–,0,?,1,1,3,6,?,?,2,?,?,–,0,?,–,–,–,–,–,
Mancicorpus,gibbus,Srivastava 1968,Srivastava 1968,4,0,0,0,0,2,2,6,2,2,?,?,1,1,?,6,?,?,?,1,4,1,2,?,–,–,–,–,–,
Marsypiletes,cretacea,Robertson 1973 emend. Robertson & Elsik 1978,Robertson 1973; Robertson & Elsik 1978,1,–,0,0,0,0,2,2,?,–,0,?,1,1,0,6,?,1,?,0,–,–,0,?,–,–,–,–,–,unique feature: hollow exine evaginations
Momipites,inaequalis,Anderson 1960,Anderson 1960,9,0,0,0,0,2,1,2,?,–,0,?,1,?,?,0,?,?,–,0,–,–,1,?,0,0,0,0,0,
Momipites,leffingwellii,Nichols & Ott 1978,Nichols & Ott 1978,9,0,0,0,0,2,1,2,?,–,0,?,1,0,–,0,?,?,–,?,?,–,0,1,0,0,0,0,0,
Momipites,microfoveolatus,(Stanley 1965) Nichols 1973,Stanley 1965,9,0,0,0,0,2,1,2,?,–,0,?,1,0,–,–,?,1,0,0,–,–,0,1,0,0,0,0,0,
Momipites,tenuipolus,Anderson 1960,Lupia 1999,9,0,0,0,0,2,0,2,?,–,?,?,1,?,?,?,?,?,?,?,?,–,1,?,?,0,0,0,0,
Momipites,wyomingensis,Nichols & Ott 1978,Lupia 1999,9,0,0,0,0,2,1,2,?,–,0,?,1,0,–,0,?,?,–,?,?,–,1,1,0,0,0,0,0,
Myrtaceidites,solidus,Sweet 1986,Sweet 1986,C,–,0,0,0,2,1,2,1,–,0,?,1,1,4,0,–,–,–,0,–,–,1,?,–,–,–,–,–,
Myrtipites,granulatus,Norton in Norton & Hall 1969,Lupia 1999,9,0,0,0,0,2,1,?,?,–,2,?,1,?,?,?,?,0,?,1,0,–,?,3,1,0,?,1,0,
Myrtipites,scabratus,Norton in Norton & Hall 1969,Lupia 1999,9,0,0,0,0,2,1,?,?,–,?,?,1,?,?,?,?,0,?,1,0,–,?,3,1,?,?,?,?,
Nyssapollenites,bindae,Srivastava 1969,Srivastava 1969d,5,2,?,0,0,2,1,2,?,–,?,?,1,1,2,0,?,?,?,0,–,–,0,?,–,–,–,–,–,
