genus,species_epithet,Aptian,Albian,Cenomanian,Turonian-Santonian,Campanian,Maastrichtian,Paleocene,Cretaceous,Monosulcate,Porate,Colpate,Triprojectacites,Other
Fraxinoipollenites,constrictus,0,1,1,1,1,0,0,1,0,0,1,0,0
Fraxinoipollenites,variabilis,0,1,1,1,1,1,1,1,0,0,1,0,0
Fraxinoipollenites,venustus,0,1,1,0,0,0,0,1,0,0,1,0,0
Gemmatricolpites,gemmatus,0,1,1,0,0,0,0,1,0,0,1,0,0
Grewipollenites,canadensis,0,0,0,0,1,1,0,1,0,0,1,0,0
Grewipollenites,radiatus,0,0,0,0,1,0,0,1,0,0,1,0,0
Haloragacidites,quadratus,0,0,0,0,0,1,1,1,0,1,0,0,0
Hammenia,fredericksburgensis,0,1,1,0,0,0,0,1,0,0,1,0,0
Holkopollenites,chemardensis,0,0,0,0,0,1,1,1,0,0,1,0,0
Inaperturotetradites,scabratus,0,0,0,0,1,0,0,1,0,0,0,0,1
Interpollis,paleocenicus,0,0,0,0,1,1,1,1,0,1,0,0,0
Kurtzipites,annulatus,0,0,0,0,0,1,1,1,0,0,1,0,0
Kurtzipites,circularis,0,0,0,0,0,1,1,1,0,1,0,0,0
Kurtzipites,trispissatus,0,0,0,0,0,1,1,1,0,0,1,0,0
Libopollis,jarzenii,0,0,0,0,0,1,0,1,0,0,1,0,0
Liliacidites,altimurus,0,0,0,0,0,1,0,1,1,0,0,0,0
Liliacidites,complexus,0,0,0,0,1,1,1,1,1,0,0,0,0
Liliacidites,dictyotus,0,0,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,doylei,0,1,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,giganteus,0,0,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,inaequalis,0,1,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,kiowaensis,0,1,0,0,0,0,0,1,1,0,0,0,0
Liliacidites,leei,0,0,0,0,0,1,1,1,1,0,0,0,0
Liliacidites,lenticularis,0,0,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,magnus,0,0,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,morrinensis,0,0,0,0,1,1,1,1,1,0,0,0,0
Liliacidites,sp. A (Doyle and Robbins 1977),1,0,0,0,0,0,0,1,1,0,0,0,0
Liliacidites,tectatus,0,1,1,0,0,0,0,1,1,0,0,0,0
Liliacidites,variegatus,0,1,1,1,1,1,0,1,1,0,0,0,0
Mancicorpus,calvus,0,0,0,0,1,1,0,1,0,0,1,1,0
Mancicorpus,tripodiformis,0,0,0,0,1,0,0,1,0,0,1,1,0
Margocolporites,cribellatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Margocolporites,lihokus,0,0,0,0,1,1,0,1,0,0,1,0,0
Margocolporites,taylorii,0,0,0,0,0,1,0,1,0,0,1,0,0
Minorpollis,minima,0,0,0,1,0,0,0,1,0,1,0,0,0
Momipites,fragilis,0,0,0,1,1,0,0,1,0,1,0,0,0
Momipites,tenuipolus,0,0,0,0,0,1,1,1,0,1,0,0,0
Momipites,wyomingensis,0,0,0,0,0,1,1,1,0,1,0,0,0
Monosulcites,tectatus,0,0,0,0,0,1,1,1,1,0,0,0,0
Montanapollis,endannulatus,0,0,0,0,1,0,0,1,0,1,0,0,0
Myrtipites,granulatus,0,0,0,0,0,1,1,1,0,1,0,0,0
Myrtipites,scabratus,0,0,0,0,0,1,1,1,0,1,0,0,0
Nyssapollenites,albertensis,0,1,1,1,1,0,0,1,0,0,1,0,0
Nyssapollenites,analepticus,0,0,0,0,0,1,0,1,0,0,1,0,0
Nyssapollenites,nigricolpus,0,0,1,0,0,0,0,1,0,0,1,0,0
Nyssapollenites,psuedocruciatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Nyssapollenites,triangulus,0,0,1,1,1,0,0,1,0,0,1,0,0
Osculapollis,aequalis,0,0,0,0,1,1,0,1,0,1,0,0,0
Osculapollis,perspectus,0,0,0,0,1,0,0,1,0,1,0,0,0
Palmidites,maximus,0,0,0,0,0,1,1,1,1,0,0,0,0
Pandaniidites,radicus,0,0,0,0,0,1,0,1,0,0,0,0,1
Phimopollenites,augathellaensis,0,1,0,0,0,0,0,1,0,0,1,0,0
Phimopollenites,megistus,0,0,1,0,0,0,0,1,0,0,1,0,0
Phimopollenites,pannosus,0,1,0,0,0,0,0,1,0,0,1,0,0
Phimopollenites,pseudocheros,0,1,0,0,0,0,0,1,0,0,1,0,0
Phimopollenites,tectatus,0,0,1,0,0,0,0,1,0,0,1,0,0
Plicapollis,incisus,0,0,0,1,0,0,0,1,0,1,0,0,0
Plicapollis,retusus,0,0,0,0,1,0,0,1,0,1,0,0,0
Plicapollis,rusticus,0,0,0,0,1,0,0,1,0,1,0,0,0
Plicapollis,usitatus,0,0,0,0,1,1,0,1,0,1,0,0,0
Plicapollis,vacuus,0,0,0,0,1,1,0,1,0,1,0,0,0
Polyadopollenites,psilatus,0,0,0,0,0,1,1,1,0,0,0,0,1
Polycolpites,granulatus,0,0,0,0,0,1,0,1,0,0,1,0,0
Rousea,delicipollis,0,1,0,0,0,0,0,1,0,0,1,0,0
Rousea,doylei,0,1,1,0,0,0,0,1,0,0,1,0,0
