genus,species_epithet,Maastrichtian,boundary,Paleocene,pre_lat1,post_lat1,pre_lat2,post_lat2,Monosulcate,Porate,Colpate,Triprojectacites,Other
Senipites,drumhellerensis,1,0,0,0,0,1,0,0,0,1,0,0
Striatellipollis,radiata,1,0,0,0,0,1,0,0,0,1,0,0
Striatellipollis,striatellus,1,1,1,1,1,1,1,0,0,1,0,0
Striatopollis,tectatus,1,0,1,1,1,0,0,0,0,1,0,0
Styxpollenites,calamitas,1,0,0,1,0,0,0,0,0,1,0,0
Syncolporites,minimus,1,0,1,1,1,1,1,0,0,1,0,0
Thomsonipollis,magnificus,1,0,1,1,1,0,0,0,1,0,0,0
Triatriopollenites,granulatus,1,0,1,1,1,0,0,0,1,0,0,0
Triatriopollenites,subtriangulus,1,0,1,1,1,0,0,0,1,0,0,0
Tricolpites,cellatus,1,0,0,0,0,1,0,0,0,1,0,0
Tricolpites,hians,1,0,1,1,1,0,0,0,0,1,0,0
Tricolpites,microreticulatus,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,parvistriatus,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,vulgaris,1,0,1,0,0,1,1,0,0,1,0,0
Tricolporopollenites,kruschii,0,0,1,0,0,0,1,0,0,1,0,0
Triporopollenites,granilabratus,1,0,1,1,0,1,1,0,1,0,0,0
Triporopollenites,mullensis,1,0,1,0,0,1,1,0,1,0,0,0
Triporopollenites,plektosus,1,0,1,1,1,1,1,0,1,0,0,0
Triporopollenites,triplicatus,1,0,1,1,1,0,0,0,1,0,0,0
Triprojectus,unicus,1,0,0,0,0,1,0,0,0,1,1,0
Tschudypollis,retusus,1,1,0,1,0,0,0,0,1,0,0,0
Ulmipollenites,hebridicus,1,0,1,0,0,1,1,0,1,0,0,0
Ulmipollenites,krempii,1,0,1,1,1,1,1,0,1,0,0,0
Ulmipollenites,planaeriformis,1,0,1,0,0,1,1,0,1,0,0,0
Wodehouseia,avita,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,fimbriata,1,0,1,0,1,1,1,0,1,0,0,0
Wodehouseia,gracile,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,octospina,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,quadrispina,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,spinata,1,1,1,1,1,1,1,0,1,0,0,0
Wodehouseia,vestivirgata,1,0,0,0,0,1,0,0,1,0,0,0
Zonosulcites,scollardensis,1,0,0,0,0,1,0,1,0,0,0,0
